,unique_intersection_id,INTERSECTIONID,FULLINTERSECTION,LONGITUDE,LATITUDE,all_dropoffs,all_pickups,morning_dropoffs,morning_pickups,late_morning_dropoffs,late_morning_pickups,afternoon_dropoffs,afternoon_pickups,evening_dropoffs,evening_pickups,late_evening_dropoffs,late_evening_pickups,cluster_id
0,2947,15378,14TH STREET NW AND CONSTITUTION AVENUE NW//CONSTITUTION AVENUE NW AND 14TH STREET NW,-77.03196384,38.89209354,44695,58491,2214,2186,13727,14075,18370,24204,7983,14231,2401,3795,2947
1,357,14103,15TH STREET NW AND CONSTITUTION AVENUE NW//CONSTITUTION AVENUE NW AND 15TH STREET NW,-77.033653,38.89208985,35580,47173,2199,2821,9641,12670,12417,15445,7799,11524,3524,4713,2947
2,1933,17610,17TH STREET NW AND CONSTITUTION AVENUE NW//CONSTITUTION AVENUE NW AND 17TH STREET NW,-77.03948096,38.89210007,28619,35613,1204,1792,6269,8483,9931,11382,7975,9995,3240,3961,1933
3,2384,17878,12TH ST EXPRESSWAY AND 12TH STREET NW//12TH STREET NW AND CONSTITUTION AVENUE NW//CONSTITUTION AVENUE NW AND 12TH STREET NW//12TH STREET NW AND 12TH ST EXPRESSWAY NW//CONSTITUTION AVENUE NW AND 12TH ST EXPRESSWAY NW//12TH ST EXPRESSWAY AND CONSTITUTION AVENUE NW,-77.02813741,38.89208573,27999,33823,1501,976,8724,8205,11860,14487,4637,8296,1277,1859,2384
4,2000,13086,CONSTITUTION AVENUE NW AND 7TH STREET NW//7TH STREET NW AND CONSTITUTION AVENUE NW,-77.0219001,38.89207842,23664,33736,958,1092,6980,9174,9439,12430,4905,8539,1382,2501,2000
5,2165,13935,INDEPENDENCE AVENUE SW AND 14TH STREET SW//14TH STREET SW AND INDEPENDENCE AVENUE SW,-77.03195162,38.88756755,30958,33030,1788,1285,10119,9251,13070,14905,4822,6280,1159,1309,2165
6,555,13315,23RD STREET NW AND I STREET NW//I STREET NW AND 23RD STREET NW,-77.05012836,38.90069897,20421,31492,2037,6063,2957,5321,5002,6271,7617,9779,2808,4058,555
7,2373,18361,CONSTITUTION AVENUE NW AND 9TH STREET NW//9TH STREET NW AND CONSTITUTION AVENUE NW,-77.02396203,38.89207977,20908,29743,1204,819,6718,7751,8464,12272,3641,7242,881,1659,2000
8,742,11502,COLUMBUS CIRCLE NE AND 1ST STREET NE//MASSACHUSETTS AVENUE NE AND COLUMBUS CIRCLE NE//1ST STREET NE AND COLUMBUS CIRCLE NE//COLUMBUS CIRCLE NE AND MASSACHUSETTS AVENUE NE//MASSACHUSETTS AVENUE NE AND 1ST STREET NE//1ST STREET NE AND MASSACHUSETTS AVENUE NE,-77.00777834,38.89686039,23733,29063,3467,4847,4008,5052,6644,6427,7902,10207,1712,2530,742
9,7549,18018,CONSTITUTION AVENUE NW AND 10TH STREET NW//10TH STREET NW AND CONSTITUTION AVENUE NW,-77.02599044,38.89208227,22891,28440,1641,600,8163,7402,9831,13101,2793,6395,463,942,2384
10,6077,17724,LINCOLN MEMORIAL CIRCLE NW AND LINCOLN MEMORIAL CIRCLE SW,-77.04896387,38.88932081,32450,27933,1215,728,7565,5644,11404,9969,8731,8411,3535,3181,6077
11,3803,17763,IRVING STREET NW AND 14TH STREET NW//14TH STREET NW AND IRVING STREET NW,-77.03264109,38.92880696,19368,26275,2915,4300,3509,5290,4560,6020,5580,7100,2804,3565,3803
12,4208,15519,7TH STREET NW AND H STREET NW//H STREET NW AND 7TH STREET NW,-77.02191443,38.89981347,22041,25450,1494,2066,3920,4155,6182,7078,7267,7723,3178,4428,4208
13,2157,14095,INDEPENDENCE AVENUE SW AND 6TH STREET SW//6TH STREET SW AND INDEPENDENCE AVENUE SW,-77.01990733,38.88756737,22316,24551,1092,280,8543,7534,10036,11869,2392,4551,253,317,2157
14,6625,-480,INDEPENDENCE AVENUE SW AND 12TH ST EXPRESSWAY NW,-77.02811572,38.88756655,19362,21543,1172,1083,3831,4023,7067,7518,5497,7062,1795,1857,6625
15,2464,14456,CONSTITUTION AVENUE NW AND 21ST STREET NW//21ST STREET NW AND CONSTITUTION AVENUE NW,-77.04667571,38.89210156,17223,21519,736,629,3961,5589,6128,6963,4649,6032,1749,2306,2464
16,3725,14967,INDEPENDENCE AVENUE SW AND 7TH STREET SW//7TH STREET SW AND INDEPENDENCE AVENUE SW,-77.02191568,38.8875632,20002,20995,1014,575,5806,4469,8882,9686,3634,5386,666,879,2157
17,1997,14774,INDIANA AVENUE NW AND 7TH STREET NW//7TH STREET NW AND INDIANA AVENUE NW,-77.02191088,38.89387727,14725,20551,851,1588,3168,4225,4957,7014,4369,5628,1380,2096,2000
18,5557,11776,CONSTITUTION AVENUE NW AND 22ND STREET NW//22ND STREET NW AND CONSTITUTION AVENUE NW,-77.048849,38.89210242,19961,20354,1001,546,5192,4803,6619,6931,4971,5621,2178,2453,2464
19,5667,19687,15TH STREET NW AND P STREET NW//P STREET NW AND 15TH STREET NW,-77.03455674,38.90964928,17171,19647,1385,2247,3015,3454,3838,4233,6209,6221,2724,3492,5667
20,2869,18678,14TH STREET NW AND RHODE ISLAND AVENUE NW//RHODE ISLAND AVENUE NW AND 14TH STREET NW,-77.03194927,38.9088381,16429,18544,1184,2140,2635,3083,3702,4074,5779,5675,3129,3572,5667
21,2670,14517,17TH STREET NW AND PENNSYLVANIA AVENUE NW//PENNSYLVANIA AVENUE NW AND 17TH STREET NW,-77.03946035,38.89881381,16767,17291,2325,933,4253,4482,5772,6266,3424,4553,993,1057,2670
22,5825,15533,HENRY BACON DRIVE NW AND LINCOLN MEMORIAL CIRCLE NW//LINCOLN MEMORIAL CIRCLE NW AND HENRY BACON DRIVE NW,-77.04950967,38.89009703,17288,17115,853,824,4566,4228,6003,5835,4138,4529,1728,1699,6077
23,2028,16349,U STREET NW AND 13TH STREET NW//13TH STREET NW AND U STREET NW,-77.02962137,38.91699928,11733,16762,1576,3593,1659,2838,2453,3245,3934,4612,2111,2474,2028
24,6606,15573,F STREET NW AND 7TH STREET NW//7TH STREET NW AND 7TH STREET NW//7TH STREET NW AND F STREET NW,-77.02191587,38.89727599,13085,16683,1181,1345,2951,3708,3826,5033,3850,4645,1277,1952,6606
25,418,18679,14TH STREET NW AND P STREET NW//P STREET NW AND 14TH STREET NW,-77.03195183,38.90964795,14127,16445,1164,1853,2447,2810,3059,3593,4821,4812,2636,3377,5667
26,6920,11554,6TH STREET NW AND PENNSYLVANIA AVENUE NW//PENNSYLVANIA AVENUE NW AND 6TH STREET NW,-77.01989943,38.89275900000001,11481,16263,718,677,3475,4271,4498,6921,2187,3447,603,947,2000
27,8076,11710,12TH STREET NW AND G STREET NW//G STREET NW AND 12TH STREET NW,-77.02807814,38.89831527,11317,16084,1505,1805,2603,3716,3413,4453,2925,4802,871,1308,8076
28,7494,14423,4TH STREET SW AND INDEPENDENCE AVENUE SW//INDEPENDENCE AVENUE SW AND 4TH STREET SW,-77.01754691,38.8875716,15968,16012,993,317,5557,3978,6968,7707,2068,3463,382,547,2157
29,2398,14470,F STREET NW AND 14TH STREET NW//14TH STREET NW AND F STREET NW,-77.03196323,38.89734925,15457,15580,1265,811,3513,3029,4769,4871,4281,5004,1629,1865,2398
30,2413,11582,M STREET NW AND 15TH STREET NW//15TH STREET NW AND M STREET NW,-77.0345693,38.90564669,12040,15505,3648,3670,2347,3913,2441,3073,2676,3926,928,923,2413
31,142,12944,K STREET NW AND 17TH STREET NW//17TH STREET NW AND K STREET NW//17TH STREET NW AND CONNECTICUT AVENUE NW//CONNECTICUT AVENUE NW AND 17TH STREET NW//CONNECTICUT AVENUE NW AND K STREET NW//K STREET NW AND CONNECTICUT AVENUE NW,-77.03944583,38.90252343,12358,15448,1882,2114,2238,2731,3206,3379,4065,5744,967,1480,142
32,2735,15843,14TH STREET NW AND U STREET NW//U STREET NW AND 14TH STREET NW,-77.03195074,38.91699812,11762,14929,923,2739,1962,2868,2626,3192,3902,3718,2349,2412,2028
33,3722,14174,M STREET SW AND 4TH STREET SW//4TH STREET SW AND M STREET SW,-77.01756606,38.8764615,11989,14795,713,1849,1643,2414,2905,3443,4505,4727,2223,2362,3722
34,2162,13214,MAINE AVENUE SW AND 9TH STREET SW//9TH STREET SW AND MAINE AVENUE SW,-77.02485351,38.88031398,13380,14763,855,1017,1861,2057,3771,3979,4857,5218,2036,2492,2162
35,4085,17650,13TH STREET NW AND F STREET NW//F STREET NW AND 13TH STREET NW,-77.02961921,38.89733928,14250,14716,1280,664,3443,2866,4765,5376,3604,4303,1158,1507,8076
36,2555,13314,I STREET NW AND 22ND STREET NW//22ND STREET NW AND I STREET NW,-77.04882375,38.90069209,12221,14494,1002,1197,2546,2910,3443,4037,3476,4236,1754,2114,555
37,4329,16693,H STREET NE AND 6TH STREET NE//6TH STREET NE AND H STREET NE,-76.99844208,38.9002048,10666,14357,666,1996,1692,2735,2412,3000,4027,4209,1869,2417,4329
38,2160,17584,MAINE AVENUE SW AND 7TH STREET SW//7TH STREET SW AND MAINE AVENUE SW,-77.02272816,38.87863454,14362,14335,639,792,2064,1893,4152,3964,4923,4920,2584,2766,2160
39,6919,16244,14TH STREET NW AND PENNSYLVANIA AVENUE NW//PENNSYLVANIA AVENUE NW AND 14TH STREET NW,-77.03196179,38.89610485,13212,14321,901,827,2772,2762,4146,4511,3911,4563,1482,1658,2398
40,7584,18684,14TH STREET NW AND I STREET NW//I STREET NW AND 14TH STREET NW,-77.03196286,38.90133856,11059,14256,2594,2133,2338,3402,2574,3519,2551,4125,1002,1077,7584
41,7727,14926,M STREET NE AND 1ST STREET NE//1ST STREET NE AND M STREET NE,-77.00588515,38.9056412,12947,14037,950,1874,1981,2114,2899,2841,4746,4792,2371,2416,7727
42,2556,11605,M STREET NW AND 22ND STREET NW//22ND STREET NW AND M STREET NW,-77.04881234,38.90526869,12709,13875,1337,1714,2330,2614,3159,2890,4230,4667,1653,1990,2556
43,3754,15226,INDEPENDENCE AVENUE SW AND RAOUL WALLENBERG PLACE SW//RAOUL WALLENBERG PLACE SW AND 15TH STREET SW//15TH STREET SW AND INDEPENDENCE AVENUE SW//INDEPENDENCE AVENUE SW AND 15TH STREET SW//15TH STREET SW AND RAOUL WALLENBERG PLACE SW//INDEPENDENCE AVENUE SW AND INDEPENDENCE AVENUE SW//INDEPENDENCE AVENUE SW AND RAOUL WALLENBERG PLACE SW//INDEPENDENCE AVENUE SW AND 15TH STREET SW//RAOUL WALLENBERG PLACE SW AND INDEPENDENCE AVENUE SW,-77.03368758,38.88777335,14344,13840,959,683,4579,4008,5520,5563,2656,2974,630,612,2165
44,7580,15866,17TH STREET NW AND I STREET NW//I STREET NW AND 17TH STREET NW,-77.03944734,38.90134038,11932,13825,2149,1834,2838,3112,3288,3601,2818,4147,839,1131,142
45,2559,15270,M STREET NW AND 24TH STREET NW//24TH STREET NW AND M STREET NW,-77.05140797,38.90526107,12079,13775,1426,1878,2203,2610,3038,3012,3775,4431,1637,1844,2556
46,147,13405,I STREET NW AND 18TH STREET NW//18TH STREET NW AND I STREET NW,-77.04169826,38.90133735,9823,13753,2286,2212,2199,3094,2489,3130,2332,4384,517,933,142
47,2226,18899,L'ENFANT PROMENADE SW AND INDEPENDENCE AVENUE SW//INDEPENDENCE AVENUE SW AND L'ENFANT PROMENADE SW,-77.02599078,38.88756663,11793,13693,1146,667,3033,3278,4955,5785,2230,3434,429,529,6625
48,1786,17479,19TH STREET NW AND DUPONT CIRCLE NW//DUPONT CIRCLE NW AND 19TH STREET NW,-77.0435893,38.90903556,8996,13644,1590,2553,1569,2647,1954,2941,2854,3949,1029,1554,1786
49,8306,18009,G STREET NW AND 13TH STREET NW//13TH STREET NW AND G STREET NW,-77.02962002,38.89831317,12640,13471,1684,1055,2875,2833,4005,3938,3219,4474,857,1171,8076
50,1930,14042,24TH STREET NW AND CONNECTICUT AVENUE NW//CONNECTICUT AVENUE NW AND 24TH STREET NW,-77.05229376,38.92487018,7534,13333,1707,2383,1438,3274,1700,3061,1858,3463,831,1152,1930
51,3777,15518,G STREET NW AND 7TH STREET NW//7TH STREET NW AND G STREET NW,-77.02191439,38.89844666,12900,13304,540,499,2463,1912,3891,4062,4120,4314,1886,2517,4208
52,254,15839,CONSTITUTION AVENUE NW AND 23RD STREET NW//CONSTITUTION AVENUE NW AND 23RD STREET NW//23RD STREET NW AND CONSTITUTION AVENUE NW//CONSTITUTION AVENUE NW AND CONSTITUTION AVENUE NW,-77.05015941,38.89209554,14192,13296,669,303,3269,2746,4793,4533,3757,3885,1704,1829,254
53,219,17702,15TH STREET NW AND H STREET NW//H STREET NW AND 15TH STREET NW,-77.03364168,38.90020664,11981,13238,1811,910,2580,2891,3260,3839,3194,4389,1136,1209,7584
54,1995,15932,E STREET NW AND 7TH STREET NW//7TH STREET NW AND E STREET NW,-77.02191725,38.89613215,13076,13186,880,557,2463,1909,3857,4007,4225,4499,1651,2214,6606
55,8142,13524,MAINE AVENUE SW AND 12TH STREET SW//12TH STREET SW AND MAINE AVENUE SW,-77.02689331,38.88142344,13791,13083,690,476,2326,1529,4183,4256,4699,4535,1893,2287,2162
56,4285,14725,12TH STREET NW AND PENNSYLVANIA AVENUE NW//PENNSYLVANIA AVENUE NW AND 12TH STREET NW,-77.02809603,38.89501891,11373,12935,907,853,2433,2755,3931,4294,3127,3896,975,1137,4285
57,6637,18439,T STREET NW AND 14TH STREET NW//14TH STREET NW AND T STREET NW,-77.03195552,38.91556868,12009,12830,695,1361,1822,1937,2585,2867,4453,3708,2454,2957,6637
58,7104,17402,CONNECTICUT AVENUE NW AND L STREET NW//L STREET NW AND CONNECTICUT AVENUE NW,-77.04001141,38.9037412,10886,12649,1815,1540,2237,2594,2888,2999,3061,4301,885,1215,142
59,435,13674,15TH STREET NW AND PENNSYLVANIA AVENUE NW//NEW YORK AVENUE NW AND 15TH STREET NW//NEW YORK AVENUE NW AND PENNSYLVANIA AVENUE NW//PENNSYLVANIA AVENUE NW AND NEW YORK AVENUE NW//15TH STREET NW AND NEW YORK AVENUE NW//PENNSYLVANIA AVENUE NW AND 15TH STREET NW,-77.03364179,38.89878213,12718,12618,1429,724,3065,3065,4006,4046,3144,3651,1074,1132,2398
60,2448,14021,K STREET NW AND 16TH STREET NW//16TH STREET NW AND K STREET NW,-77.03654205,38.90252553,10990,12535,1396,1234,2325,2610,3039,3065,2994,4110,1236,1516,2448
61,5760,17935,WISCONSIN AVENUE NW AND M STREET NW//M STREET NW AND WISCONSIN AVENUE NW,-77.06281147,38.90517696,12594,12466,813,398,2516,1865,3604,3632,3946,4320,1715,2251,5760
62,7931,19496,L STREET NW AND 19TH STREET NW//19TH STREET NW AND L STREET NW,-77.04345636,38.90374461,11249,12421,2789,1083,2749,3023,2833,3705,2107,3660,771,950,7931
63,2542,15330,D STREET NW AND 7TH STREET NW//7TH STREET NW AND D STREET NW,-77.02190779,38.89479485,12317,12420,491,308,2658,1718,3867,4473,3746,4022,1555,1899,2542
64,383,14074,PENNSYLVANIA AVENUE NW AND E STREET NW//E STREET NW AND 15TH STREET NW//15TH STREET NW AND PENNSYLVANIA AVENUE NW//E STREET NW AND PENNSYLVANIA AVENUE NW//PENNSYLVANIA AVENUE NW AND 15TH STREET NW//15TH STREET NW AND E STREET NW,-77.03364544,38.89547939,14296,12265,706,371,3542,2715,5010,4517,3720,3447,1318,1215,383
65,3697,5923,4TH STREET SE AND TINGEY STREET SE//TINGEY STREET SE AND 4TH STREET SE,-77.00057675,38.87491641,11738,12251,696,790,2052,1665,3155,3684,3927,3754,1908,2358,3697
66,7465,12936,K STREET NW AND 14TH STREET NW//14TH STREET NW AND K STREET NW,-77.03195509,38.90252309,10753,12240,1784,1014,2321,2697,2750,2979,2833,4167,1065,1383,7584
67,1243,13181,15TH STREET NW AND VERMONT AVENUE NW//I STREET NW AND 15TH STREET NW//VERMONT AVENUE NW AND 15TH STREET NW//VERMONT AVENUE NW AND I STREET NW//15TH STREET NW AND I STREET NW//I STREET NW AND VERMONT AVENUE NW,-77.03459295,38.90133587,9100,12004,2553,2025,1663,2477,2028,2764,2180,3808,676,930,7584
68,2394,19290,L STREET NW AND 14TH STREET NW//14TH STREET NW AND L STREET NW,-77.03194952,38.9037376,10422,11936,2326,1537,2403,3128,2483,2887,2418,3467,792,917,2394
69,7550,16461,PENNSYLVANIA AVENUE NW AND 20TH STREET NW//PENNSYLVANIA AVENUE NW AND I STREET NW//20TH STREET NW AND PENNSYLVANIA AVENUE NW//20TH STREET NW AND I STREET NW//I STREET NW AND PENNSYLVANIA AVENUE NW//I STREET NW AND 20TH STREET NW,-77.04489951,38.90070544,10829,11872,1620,887,3101,3460,2745,3327,2419,2862,944,1336,7550
70,2536,19674,H STREET NW AND 6TH STREET NW//6TH STREET NW AND H STREET NW,-77.01990981,38.89981107,11417,11819,1191,1221,2158,1957,3033,3286,3468,3473,1567,1882,4208
71,433,14075,ALEXANDER HAMILTON PLACE NW AND PENNSYLVANIA AVENUE NW//15TH STREET NW AND ALEXANDER HAMILTON PLACE NW//ALEXANDER HAMILTON PLACE NW AND 15TH STREET NW//PENNSYLVANIA AVENUE NW AND ALEXANDER HAMILTON PLACE NW//15TH STREET NW AND PENNSYLVANIA AVENUE NW//PENNSYLVANIA AVENUE NW AND 15TH STREET NW,-77.03364923,38.89640285,11785,11808,755,624,2968,2605,3893,4176,3005,3120,1164,1283,2398
72,5534,14177,M STREET SE AND NEW JERSEY AVENUE SE//NEW JERSEY AVENUE SE AND M STREET SE,-77.00415879,38.87648158,7176,11804,925,2219,1424,2685,1713,2606,2169,2935,945,1359,5534
73,8144,17609,17TH STREET NW AND 17TH STREET SW//17TH STREET SW AND 17TH STREET NW,-77.03948018,38.88987936,14600,11800,467,297,3362,2484,4904,4113,4036,3426,1831,1480,1933
74,5202,14699,C STREET SW AND 7TH STREET SW//MARYLAND AVENUE SW AND C STREET SW//7TH STREET SW AND MARYLAND AVENUE SW//7TH STREET SW AND C STREET SW//MARYLAND AVENUE SW AND 7TH STREET SW//C STREET SW AND MARYLAND AVENUE SW,-77.02191205,38.88632266,9055,11697,555,1312,1542,2025,3047,3314,3142,4074,769,972,2157
75,3319,13040,F STREET NE AND COLUMBUS CIRCLE NE//COLUMBUS CIRCLE NE AND F STREET NE,-77.00477261,38.89734032,8704,11651,1750,2033,1607,2019,2251,2644,2417,3767,679,1188,3319
76,5500,15503,3RD STREET SW AND INDEPENDENCE AVENUE SW//INDEPENDENCE AVENUE SW AND 3RD STREET SW,-77.01517801,38.88756661,10691,11638,1142,396,3093,2961,4337,5185,1732,2639,387,457,5500
77,2378,13805,F STREET NW AND 9TH STREET NW//9TH STREET NW AND F STREET NW,-77.02397016,38.89728831,12066,11539,555,256,2969,1947,4045,4379,3305,3407,1192,1550,6606
78,7390,13065,D STREET NW AND NEW JERSEY AVENUE NW//NEW JERSEY AVENUE NW AND D STREET NW,-77.01094303,38.89478874,9168,11488,797,1093,1680,2333,2708,2848,2722,3680,1261,1534,7390
79,2570,19625,M STREET NW AND 31ST STREET NW//31ST STREET NW AND M STREET NW,-77.06118434,38.90519081,11379,11429,798,399,2117,1598,3176,3314,3746,4058,1542,2060,5760
80,6867,13080,14TH STREET NW AND G STREET NW//G STREET NW AND 14TH STREET NW,-77.03195529999998,38.89831692,10801,11424,1842,778,2816,2974,3095,3521,2437,3429,611,722,2398
81,2049,13673,G STREET NW AND 15TH STREET NW//15TH STREET NW AND G STREET NW,-77.03364364,38.89831461,11623,11389,892,450,2824,2391,3855,3937,2949,3410,1103,1201,2398
82,2718,17838,11TH STREET NW AND H STREET NW//H STREET NW AND 11TH STREET NW,-77.02703514,38.89981676,10681,11358,1196,780,2052,2198,3199,3314,3042,3700,1192,1366,8076
83,1807,15862,10TH STREET NW AND F STREET NW//F STREET NW AND 10TH STREET NW,-77.02598361,38.89734447,10723,11340,1166,464,2743,2639,3770,4064,2456,3317,588,856,8076
84,7469,17814,L STREET NW AND 15TH STREET NW//15TH STREET NW AND L STREET NW,-77.03457682,38.90373715,11693,11303,3943,1100,2576,3462,2506,2954,2111,3302,557,485,2413
85,3778,14113,PENNSYLVANIA AVENUE NW AND 7TH STREET NW//7TH STREET NW AND PENNSYLVANIA AVENUE NW,-77.02191906,38.8932951,9470,11174,639,599,2284,2525,3491,4271,2355,2924,701,855,2000
86,2044,15377,MADISON DRIVE NW AND 14TH STREET NW//14TH STREET NW AND MADISON DRIVE NW,-77.03196203,38.89041672,11946,11096,510,206,3747,2813,5185,5184,2054,2478,450,415,2947
87,3825,19373,19TH STREET NW AND M STREET NW//M STREET NW AND 19TH STREET NW,-77.04344888,38.90565622,10932,10964,2344,812,2716,2473,2745,3335,2282,3296,845,1048,7931
88,5519,13823,CONSTITUTION AVENUE NW AND 19TH STREET NW//19TH STREET NW AND CONSTITUTION AVENUE NW,-77.04347734,38.89210117,6796,10949,251,355,1659,3077,2395,3553,1751,2804,740,1160,5519
89,589,17198,5TH STREET NW AND K STREET NW//K STREET NW AND 5TH STREET NW,-77.01892766,38.90252149,10106,10811,812,1412,2137,2395,2150,2332,3502,2887,1505,1785,589
90,7592,18360,11TH STREET NW AND PENNSYLVANIA AVENUE NW//PENNSYLVANIA AVENUE NW AND 11TH STREET NW,-77.02705351,38.89473689,10358,10746,759,388,2364,2068,3602,3829,2725,3378,908,1083,4285
91,2043,18560,PARK ROAD NW AND 14TH STREET NW//14TH STREET NW AND PARK ROAD NW//KENYON STREET NW AND PARK ROAD NW//PARK ROAD NW AND KENYON STREET NW//KENYON STREET NW AND 14TH STREET NW//14TH STREET NW AND KENYON STREET NW,-77.03274852,38.9302311,9163,10597,807,1453,1604,1995,2371,2537,2843,2939,1538,1673,3803
92,382,14715,10TH STREET NW AND E STREET NW//E STREET NW AND 10TH STREET NW,-77.02598485,38.89613338,10780,10565,1140,500,2933,2483,3527,3667,2409,2882,771,1033,4285
93,6826,18247,14TH STREET NW AND WALLACH PLACE NW//WALLACH PLACE NW AND 14TH STREET NW,-77.03195157,38.91628944,8563,10392,710,1493,1445,1742,1796,2159,3064,3162,1548,1836,2028
94,7098,17722,20TH STREET NW AND K STREET NW//K STREET NW AND 20TH STREET NW,-77.04489742,38.90252541,6751,10307,2058,966,1641,2477,1703,2746,1079,3356,270,762,7931
95,4317,19009,6TH STREET NW AND CONSTITUTION AVENUE NW//CONSTITUTION AVENUE NW AND 6TH STREET NW,-77.0199108,38.89207618,7283,10252,292,276,2483,2541,3173,4387,1070,2481,265,567,2000
96,888,17837,9TH STREET NW AND MASSACHUSETTS AVENUE NW//MT VERNON PLACE NW AND 9TH STREET NW//MASSACHUSETTS AVENUE NW AND 9TH STREET NW//9TH STREET NW AND MT VERNON PLACE NW//MT VERNON PLACE NW AND MASSACHUSETTS AVENUE NW//MASSACHUSETTS AVENUE NW AND MT VERNON PLACE NW,-77.024043,38.90292879999999,8427,10197,1111,1577,1979,2478,2424,2618,2099,2581,814,943,888
97,3968,18356,H STREET NW AND 22ND STREET NW//22ND STREET NW AND H STREET NW,-77.04883647,38.89957537,8822,10032,942,838,2183,2348,2539,3004,2246,2686,912,1156,555
98,218,17431,1ST STREET NW AND H STREET NW//H STREET NW AND 1ST STREET NW,-77.01217427,38.90019913,8483,10000,571,867,1672,1904,2316,2567,2692,3193,1232,1469,218
99,6602,15998,Q STREET NW AND 7TH STREET NW//7TH STREET NW AND Q STREET NW,-77.0219192,38.91112376,7661,9969,477,1082,1008,1514,1978,2214,2844,3226,1354,1933,6602
100,7591,17277,9TH STREET NW AND PENNSYLVANIA AVENUE NW//PENNSYLVANIA AVENUE NW AND 9TH STREET NW,-77.02397514,38.893876899999995,9390,9906,731,652,2553,2397,3395,3764,2152,2456,559,637,2542
101,592,12952,17TH STREET NW AND K STREET NW//K STREET NW AND 17TH STREET NW,-77.03850956,38.90252354,8650,9824,1969,1344,2096,2266,2208,2675,1848,2741,529,798,142
102,7912,18617,9TH STREET SW AND 9TH STREET NW//9TH STREET NW AND 9TH STREET SW,-77.02397874,38.88961741,11259,9727,472,211,3309,2491,4957,4426,2052,2251,469,348,7912
103,7512,15325,1ST STREET SE AND M STREET SE//M STREET SE AND 1ST STREET SE,-77.00587262,38.8764821,7306,9726,948,1827,1457,1965,1633,2081,2158,2482,1110,1371,5534
104,6650,16346,SUNDERLAND PLACE NW AND 19TH STREET NW//19TH STREET NW AND SUNDERLAND PLACE NW,-77.04344088,38.90789958,7386,9683,1093,1438,1406,1685,1732,2303,2308,2991,847,1266,1786
105,2856,17813,VERMONT AVENUE NW AND L STREET NW//L STREET NW AND VERMONT AVENUE NW,-77.03307748,38.90373856,9050,9618,2032,997,2080,2465,2203,2467,2009,2944,726,745,2413
106,3939,17405,10TH STREET SW AND D STREET SW//D STREET SW AND 10TH STREET SW,-77.02597397,38.8848477,10219,9567,721,207,2754,2060,4332,4159,2108,2740,304,401,3939
107,4107,16116,14TH STREET NW AND N STREET NW//N STREET NW AND 14TH STREET NW,-77.03195068,38.90723966,10302,9484,556,565,1890,1480,2448,2286,3774,3262,1634,1891,4107
108,356,18538,RHODE ISLAND AVENUE NW AND CONNECTICUT AVENUE NW//M STREET NW AND RHODE ISLAND AVENUE NW//CONNECTICUT AVENUE NW AND RHODE ISLAND AVENUE NW//RHODE ISLAND AVENUE NW AND M STREET NW//M STREET NW AND CONNECTICUT AVENUE NW//CONNECTICUT AVENUE NW AND M STREET NW,-77.04112541,38.90566381,9221,9462,1978,765,2177,2206,2094,2482,2268,3139,704,870,356
109,2946,17065,3RD STREET NW AND CONSTITUTION AVENUE NW//CONSTITUTION AVENUE NW AND 3RD STREET NW,-77.01523178,38.89208638,8191,9398,739,786,2221,2712,2864,3048,1765,2258,602,594,2946
110,6498,14446,6TH STREET SW AND C STREET SW//C STREET SW AND 6TH STREET SW,-77.01990599,38.88603997,9721,9365,643,766,1639,1549,3080,2533,3039,3392,1320,1125,2157
111,352,15721,JEFFERSON PLACE NW AND CONNECTICUT AVENUE NW//CONNECTICUT AVENUE NW AND 18TH STREET NW//18TH STREET NW AND JEFFERSON PLACE NW//JEFFERSON PLACE NW AND 18TH STREET NW//18TH STREET NW AND CONNECTICUT AVENUE NW//CONNECTICUT AVENUE NW AND JEFFERSON PLACE NW,-77.04159094,38.90646001,8260,9310,761,491,1601,1528,2346,2712,2328,3152,1224,1427,356
112,1277,-96,THOMAS JEFFERSON STREET NW UNDER WHITEHURST FREEWAY NW,-77.06011233,38.90256882,8084,9283,617,459,1465,1515,2146,2647,2645,3121,1211,1541,1277
113,3845,12979,H STREET NW AND 10TH STREET NW//10TH STREET NW AND H STREET NW,-77.02599324,38.8998196,8571,9271,938,904,1607,1604,2490,2514,2527,3063,1009,1186,8076
114,430,18577,4TH STREET NW AND PENNSYLVANIA AVENUE NW//PENNSYLVANIA AVENUE NW AND 4TH STREET NW,-77.01756466,38.89210971,7986,9123,696,377,2296,2605,3038,3527,1521,2086,435,528,2946
115,2289,19675,M STREET NW AND 20TH STREET NW//20TH STREET NW AND M STREET NW,-77.04489723,38.90565693,8597,9121,2242,1166,2076,2362,2069,2473,1638,2539,572,581,7931
116,8312,12950,K STREET NW AND 15TH STREET NW//15TH STREET NW AND K STREET NW,-77.03457827,38.9025183,8957,9106,2229,885,2002,2422,2160,2367,1968,2691,598,741,2448
117,2016,16198,F STREET NW AND 11TH STREET NW//11TH STREET NW AND F STREET NW,-77.02703347,38.89735009,8773,9092,1217,481,1906,1975,2768,2895,2281,2866,601,875,8076
118,2719,14532,9TH STREET NW AND H STREET NW//H STREET NW AND 9TH STREET NW,-77.02396523,38.89980986,8959,9029,1063,794,1863,1851,2317,2347,2711,2858,1005,1179,4208
